date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:45	8282/8282	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/help-doc.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/help-doc.html	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-summary.html)
12:51:47	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?overview-summary.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/indexe0d5.html	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-summary.html)
12:51:48	1322/1322	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/allclasses-noframe.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/allclasses-noframe.html	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-summary.html)
12:51:49	6458/6458	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/championships/results/package-summary.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/championships/results/package-summary.html	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-summary.html)
12:51:50	5985/5985	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/package-summary.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/package-summary.html	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-summary.html)
12:51:50	175/175	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202017%2011:51:50%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/resources/fonts/dejavu.css	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/resources/fonts/dejavu.css	(from https://bead.inf.elte.hu/files/java/championship/doc/stylesheet.css)
12:51:52	5004/5004	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/championships/results/package-tree.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/championships/results/package-tree.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/Factory.html)
12:51:53	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?championships/results/Factory.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/indexa824.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/Factory.html)
12:51:54	4908/4908	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/package-tree.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/package-tree.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/Medals.html)
12:51:55	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?championships/results/ranking/Medals.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/index94a5.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/Medals.html)
